title,artist,video_id,duration_seconds,mood,bpm
Lofi Study Session,Nebula Notes,jfKfPfyJRdk,178,focused,78
Chillhop Evening,City Lanterns,5yx6BWlEVcY,212,calm,82
Cafe Jazz Light,River Street Trio,Dx5qFachd3A,243,premium,88
Upbeat Pop Clean,Morning Arcade,3JZ_D3ELwOQ,237,upbeat,116
Soft Ambient Focus,Cloud Harbor,hHW1oY26kxQ,299,calm,68
Indie Warm Vibes,Paper Windows,kTJczUoc26U,244,cozy,96
Social Groove Mix,Metro Garden,09R8_2nJtjg,239,social,110
Romantic Night Drive,Velvet Skyline,CevxZvSJLk8,221,romantic,90
Energetic Workout Lite,Pulse Harbor,fLexgOxsZu0,214,energetic,128
Luxury Lounge Hour,Midnight Lobby,OPf0YbXqDm0,233,luxury,92
